Date, Rate
01/01/2009,1.45010
01/02/2009,1.46320
01/03/2009,1.45820
01/04/2009,1.45560
01/05/2009,1.45550
01/06/2009,1.45430
01/07/2009,1.46920
01/08/2009,1.49870
01/09/2009,1.51290
01/10/2009,1.52110
01/11/2009,1.51690
01/12/2009,1.51660
01/13/2009,1.49960
01/14/2009,1.46720
01/15/2009,1.45670
01/16/2009,1.46060
01/17/2009,1.47970
01/18/2009,1.47380
01/19/2009,1.47470
01/20/2009,1.47010
01/21/2009,1.41250
01/22/2009,1.38460
01/23/2009,1.3870
01/24/2009,1.37340
01/25/2009,1.38120
01/26/2009,1.38110
01/27/2009,1.37650
01/28/2009,1.40860
01/29/2009,1.42540
01/30/2009,1.42310
01/31/2009,1.43070
02/01/2009,1.45440
02/02/2009,1.4540
02/03/2009,1.42970
02/04/2009,1.42730
02/05/2009,1.44330
02/06/2009,1.4520
02/07/2009,1.46810
02/08/2009,1.47930
02/09/2009,1.47920
02/10/2009,1.48430
02/11/2009,1.47730
02/12/2009,1.4440
02/13/2009,1.42940
02/14/2009,1.43990
02/15/2009,1.43620
02/16/2009,1.43480
02/17/2009,1.42450
02/18/2009,1.42370
02/19/2009,1.42280
02/20/2009,1.4310
02/21/2009,1.4290
02/22/2009,1.44380
02/23/2009,1.44330
02/24/2009,1.45020
02/25/2009,1.45020
02/26/2009,1.44330
02/27/2009,1.42730
02/28/2009,1.42610
03/01/2009,1.43190
03/02/2009,1.43180
03/03/2009,1.41650
03/04/2009,1.40670
03/05/2009,1.40750
03/06/2009,1.41430
03/07/2009,1.41780
03/08/2009,1.40980
03/09/2009,1.40980
03/10/2009,1.39880
03/11/2009,1.38170
03/12/2009,1.37690
03/13/2009,1.38390
03/14/2009,1.39620
03/15/2009,1.40070
03/16/2009,1.40080
03/17/2009,1.40670
03/18/2009,1.40590
03/19/2009,1.40180
03/20/2009,1.43530
03/21/2009,1.4480
03/22/2009,1.44690
03/23/2009,1.44690
03/24/2009,1.45290
03/25/2009,1.46740
03/26/2009,1.46340
03/27/2009,1.45560
03/28/2009,1.43990
03/29/2009,1.43250
03/30/2009,1.43190
03/31/2009,1.42130
04/01/2009,1.43120
04/02/2009,1.43590
04/03/2009,1.45870
04/04/2009,1.47560
04/05/2009,1.48450
04/06/2009,1.48450
04/07/2009,1.48610
04/08/2009,1.47050
04/09/2009,1.46960
04/10/2009,1.46880
04/11/2009,1.46490
04/12/2009,1.4680
04/13/2009,1.4680
04/14/2009,1.47190
04/15/2009,1.48780
04/16/2009,1.49270
04/17/2009,1.49560
04/18/2009,1.48460
04/19/2009,1.48020
04/20/2009,1.48030
04/21/2009,1.46530
04/22/2009,1.45780
04/23/2009,1.45910
04/24/2009,1.45490
04/25/2009,1.46750
04/26/2009,1.47060
04/27/2009,1.46840
04/28/2009,1.46150
04/29/2009,1.46060
04/30/2009,1.47180
05/01/2009,1.48140
05/02/2009,1.48390
05/03/2009,1.49280
05/04/2009,1.49280
05/05/2009,1.49390
05/06/2009,1.50560
05/07/2009,1.50610
05/08/2009,1.5070
05/09/2009,1.50860
05/10/2009,1.52360
05/11/2009,1.52360
05/12/2009,1.51680
05/13/2009,1.520
05/14/2009,1.52290
05/15/2009,1.51520
05/16/2009,1.52120
05/17/2009,1.51860
05/18/2009,1.51840
05/19/2009,1.52290
05/20/2009,1.54210
05/21/2009,1.55550
05/22/2009,1.5750
05/23/2009,1.58760
05/24/2009,1.59350
05/25/2009,1.59340
05/26/2009,1.590
05/27/2009,1.5890
05/28/2009,1.59940
05/29/2009,1.59410
05/30/2009,1.61090
05/31/2009,1.61940
06/01/2009,1.61950
06/02/2009,1.63280
06/03/2009,1.64660
06/04/2009,1.65260
06/05/2009,1.62710
06/06/2009,1.60730
06/07/2009,1.59860
06/08/2009,1.59840
06/09/2009,1.59470
06/10/2009,1.61520
06/11/2009,1.63470
06/12/2009,1.64550
06/13/2009,1.65020
06/14/2009,1.64490
06/15/2009,1.64490
06/16/2009,1.63560
06/17/2009,1.63640
06/18/2009,1.63570
06/19/2009,1.63510
06/20/2009,1.64090
06/21/2009,1.650
06/22/2009,1.65010
06/23/2009,1.6430
06/24/2009,1.63370
06/25/2009,1.64850

